Fiscal Year,Month,Total,Total Convicted,Aggravated Felons,Total Non-Criminal,Pending Criminal Charges,Other Immigration Violator,
2014,Total,183700,134730,NA,48970,NA,NA,
2014,October,19040,14060,NA,4980,NA,NA,
2014,November,16190,11940,NA,4250,NA,NA,
2014,December,15710,11630,NA,4080,NA,NA,
2014,January,16220,12070,NA,4150,NA,NA,
2014,February,15350,11470,NA,3880,NA,NA,
2014,March,16310,11780,NA,4530,NA,NA,
2014,April,16530,11880,NA,4650,NA,NA,
2014,May,15120,10960,NA,4150,NA,NA,
2014,June,13870,10100,NA,3770,NA,NA,
2014,July,13490,9850,NA,3640,NA,NA,
2014,August,12770,9310,NA,3460,NA,NA,
2014,September,13120,9690,NA,3430,NA,NA,
2015,Total,119770,101880,NA,17890,NA,NA,
2015,October,12820,9990,NA,2830,NA,NA,
2015,November,9730,7720,NA,2010,NA,NA,
2015,December,9230,7750,NA,1470,NA,NA,
2015,January,8550,7460,NA,1090,NA,NA,
2015,February,8360,7140,NA,1220,NA,NA,
2015,March,11700,10240,NA,1470,NA,NA,
2015,April,10570,9070,NA,1500,NA,NA,
2015,May,9650,8230,NA,1420,NA,NA,
2015,June,10560,9090,NA,1470,NA,NA,
2015,July,9670,8470,NA,1200,NA,NA,
2015,August,9400,8280,NA,1120,NA,NA,
2015,September,9530,8440,NA,1090,NA,NA,
2016,Total,110100,94750,NA,15350,NA,NA,
2016,October,10240,9130,NA,1120,NA,NA,
2016,November,8540,7620,NA,920,NA,NA,
2016,December,8780,7690,NA,1090,NA,NA,
2016,January,8050,6950,NA,1100,NA,NA,
2016,February,8760,7510,NA,1250,NA,NA,
2016,March,9670,8290,NA,1380,NA,NA,
2016,April,9460,8130,NA,1330,NA,NA,
2016,May,9650,8070,NA,1580,NA,NA,
2016,June,9100,7680,NA,1430,NA,NA,
2016,July,8440,7250,NA,1180,NA,NA,
2016,August,10120,8640,NA,1470,NA,NA,
2016,September,9310,7780,NA,1530,NA,NA,
2017,Total,143470,105740,NA,37730,NA,NA,
2017,October,9400,7570,NA,1820,NA,NA,
2017,November,9020,7500,NA,1510,NA,NA,
2017,December,9000,7450,NA,1550,NA,NA,
2017,January,9580,7850,NA,1720,NA,NA,
2017,February,11550,8570,NA,2990,NA,NA,
2017,March,14080,10440,NA,3650,NA,NA,
2017,April,12370,9120,NA,3250,NA,NA,
2017,May,13530,9790,NA,3740,NA,NA,
2017,June,13970,9910,NA,4060,NA,NA,
2017,July,13570,8960,NA,4610,NA,NA,
2017,August,14360,9760,NA,4600,NA,NA,
2017,September,13050,8820,NA,4230,NA,NA,
2018,Total,158580,105140,NA,53440,32980,20460,
2018,October,14010,9330,NA,4680,2770,1910,
2018,November,13180,8590,NA,4590,2480,2110,
2018,December,12310,8480,NA,3820,2350,1480,
2018,January,13170,9010,NA,4160,2560,1600,
2018,February,13240,9020,NA,4210,2570,1640,
2018,March,13740,9170,NA,4570,2700,1860,
2018,April,13320,8770,NA,4560,2760,1800,
2018,May,14280,9270,NA,5010,3040,1970,
2018,June,13320,8820,NA,4490,2860,1640,
2018,July,12580,8220,NA,4360,2900,1460,
2018,August,13720,8940,NA,4780,3200,1590,
2018,September,11740,7520,NA,4210,2790,1420,
2019,Total,143100,92110,NA,50990,31020,19970,
2019,October,12380,8170,NA,4220,2740,1480,
2019,November,11700,7710,NA,3990,2530,1460,
2019,December,11220,7330,NA,3890,2500,1390,
2019,January,12500,8030,NA,4470,2720,1750,
2019,February,12390,7930,NA,4460,2600,1860,
2019,March,12150,8000,NA,4150,2610,1550,
2019,April,12170,7840,NA,4330,2550,1780,
2019,May,13110,7990,NA,5130,2600,2530,
2019,June,11260,7170,NA,4080,2420,1670,
2019,July,11750,7900,NA,3860,2520,1340,
2019,August,11510,7200,NA,4320,2570,1750,
2019,September,10960,6870,NA,4100,2670,1430,
,,,,,,,,
