Return to Table of Contents.,,,,,,,,,
ERO Administrative Arrests by Criminality: Fiscal Years 2014 to 2023 (September 2023),,,,,,,,,
,,,Convicted Criminals,,,,Non-Criminal,,
Fiscal Year,Month,Total,Total Convicted,Aggravated Felons,Felons,Other/ Unknown,Total Non-Criminal,Pending Criminal Charges,Other Immigration Violator
2014,Total,"183,700 ","134,730 ",NA,NA,NA,"48,970 ",NA,NA
,October,"19,040 ","14,060 ",NA,NA,NA,"4,980 ",NA,NA
,November,"16,190 ","11,940 ",NA,NA,NA,"4,250 ",NA,NA
,December,"15,710 ","11,630 ",NA,NA,NA,"4,080 ",NA,NA
,January,"16,220 ","12,070 ",NA,NA,NA,"4,150 ",NA,NA
,February,"15,350 ","11,470 ",NA,NA,NA,"3,880 ",NA,NA
,March,"16,310 ","11,780 ",NA,NA,NA,"4,530 ",NA,NA
,April,"16,530 ","11,880 ",NA,NA,NA,"4,650 ",NA,NA
,May,"15,120 ","10,960 ",NA,NA,NA,"4,150 ",NA,NA
,June,"13,870 ","10,100 ",NA,NA,NA,"3,770 ",NA,NA
,July,"13,490 ","9,850 ",NA,NA,NA,"3,640 ",NA,NA
,August,"12,770 ","9,310 ",NA,NA,NA,"3,460 ",NA,NA
,September,"13,120 ","9,690 ",NA,NA,NA,"3,430 ",NA,NA
2015,Total,"119,770 ","101,880 ",NA,NA,NA,"17,890 ",NA,NA
,October,"12,820 ","9,990 ",NA,NA,NA,"2,830 ",NA,NA
,November,"9,730 ","7,720 ",NA,NA,NA,"2,010 ",NA,NA
,December,"9,230 ","7,750 ",NA,NA,NA,"1,470 ",NA,NA
,January,"8,550 ","7,460 ",NA,NA,NA,"1,090 ",NA,NA
,February,"8,360 ","7,140 ",NA,NA,NA,"1,220 ",NA,NA
,March,"11,700 ","10,240 ",NA,NA,NA,"1,470 ",NA,NA
,April,"10,570 ","9,070 ",NA,NA,NA,"1,500 ",NA,NA
,May,"9,650 ","8,230 ",NA,NA,NA,"1,420 ",NA,NA
,June,"10,560 ","9,090 ",NA,NA,NA,"1,470 ",NA,NA
,July,"9,670 ","8,470 ",NA,NA,NA,"1,200 ",NA,NA
,August,"9,400 ","8,280 ",NA,NA,NA,"1,120 ",NA,NA
,September,"9,530 ","8,440 ",NA,NA,NA,"1,090 ",NA,NA
2016,Total,"110,100 ","94,750 ",NA,NA,NA,"15,350 ",NA,NA
,October,"10,240 ","9,130 ",NA,NA,NA,"1,120 ",NA,NA
,November,"8,540 ","7,620 ",NA,NA,NA,920 ,NA,NA
,December,"8,780 ","7,690 ",NA,NA,NA,"1,090 ",NA,NA
