Category: All categories

Region,“report immigrant + report immigration + report illegals + report illegal alien + report to ice”: (1/1/04 - 6/27/24)
District of Columbia,100
Nevada,48
California,44
New York,40
Maryland,40
Florida,40
Texas,40
New Jersey,40
Arizona,36
New Mexico,36
Massachusetts,32
Connecticut,32
Virginia,32
Washington,32
Delaware,28
Illinois,28
Colorado,28
Utah,28
Georgia,28
Hawaii,28
Nebraska,28
Rhode Island,24
North Carolina,24
Kansas,24
Oklahoma,24
Idaho,24
Wyoming,24
Pennsylvania,24
Indiana,24
South Carolina,24
Oregon,24
Minnesota,24
Arkansas,24
Louisiana,20
Iowa,20
Alabama,20
Kentucky,20
New Hampshire,20
Alaska,20
Michigan,20
Tennessee,20
Wisconsin,20
Missouri,20
Ohio,20
Vermont,16
Mississippi,16
Maine,16
South Dakota,16
West Virginia,16
Montana,16
North Dakota,16
